"","x","y","dpt","monocle3","tscan","spatialpca","dpt_norm","monocle3_norm","tscan_norm","spatialpca_norm"
"115763703720337847485211569026532622618",-873.446014583111,-2624.07890436053,0.0909083961833117,340.37051383284,4315,20.5750865366864,0.725963207219715,0.83963901423117,0.748698368622006,0.704377487208641
"115835047977749596434189179765499859859",-1073.2279535532,-2706.24990719557,0.0976944556493465,320.538945939196,4352,20.9841919415485,0.925373134328358,0.688649774383895,0.755119750086775,0.756869433390184
"116018244815450269629349975852704613581",-182.322016775608,-2890.25280276835,0.0897391024820502,342.868303768704,5009,27.1142834068157,0.692294342242277,0.933703575147518,0.869142658799028,0.949971574758385
"116088075430519593551791095018485991543",295.162001430988,-3253.62880364954,0.0906266538407069,263.673499723155,4359,23.5368487410062,0.718326969802152,0.557271780631725,0.75633460603957,0.841197650180027
"116103362057015793111860392428414103516",-23.4041005283594,-3887.84390282631,0.027323640151155,154.711581369135,1536,7.29667534066002,0.0741062131204443,0.27490454703228,0.266400555362721,0.0710631040363843
"116226679266597380013146872161445959028",-1155.72595638037,-3607.07490476966,0.065112504412587,262.63113551058,2221,14.632079281483,0.39795209996529,0.550503297466158,0.385282887886151,0.328974796285768
"116250501088726578807453856045184855913",-828.756015658379,-2469.54280326665,0.0174717803976921,14.5733979234555,735,NA,0.0237764665046859,0.0919819507115585,0.127386324192989,NA
"116264819171524044452944363393382419674",310.738101056218,-3153.21800606549,0.0271728277141273,0.00159487197819885,413,18.2874826108251,0.0725442554668518,0.0183963901423117,0.0715029503644568,0.578737919272314
"116307465172603720705375074046497937609",-1210.33495506644,-3769.57890567183,0.0607010217285203,197.880548236899,1063,1.12809225041228,0.372787226657411,0.335126692120791,0.184311003123915,0.00246352093992799
"116380699961350786565335992538327484827",-326.20201331377,-2805.33090481162,0.0821406257565676,340.370543924764,5195,23.6859783342649,0.55623047552933,0.839812565081569,0.901423116973273,0.845745688838355
"116412119693944360951871462900516847522",755.111984729767,-3454.5989036262,0.0283888590457312,139.572548584777,1591,18.079972702211,0.0890315862547726,0.224054147865325,0.275945852134675,0.561682774303582
"116501169523389314055968246544412831642",-216.003015965223,-3792.46890512109,0.09969761644197,157.797678739412,2825,12.0702752759233,0.969107948628948,0.28531759805623,0.490107601527247,0.16581390941823
"116532332032392530001591225099264099774",314.138900974393,-3150.83635612279,0.0225789900606171,154.669666074632,1393,18.2874826108251,0.0385282887886151,0.274210343630684,0.24158278375564,0.583285957930642
"116572339585168577931525981452299432424",-1274.42695352435,-2909.30190712214,0.0836102546455699,270.047117837819,5405,23.6015103592893,0.576709475876432,0.569767441860465,0.937868795557098,0.843092666287663
"116600652591873019056343547541834337305",-1468.63905366361,-2731.85400657952,0.100238945458838,340.370574016688,4499,21.0187291688343,0.97500867754252,0.839986115931968,0.780631725095453,0.761038468826985
"116621299105224305818613747226873356018",-1495.13695302606,-2565.1208057791,0.0744323779622042,320.53897603112,5651,20.5750865366864,0.472058313085734,0.688823325234294,0.980562304755293,0.709304529088497
"116643843478534071471479836992466452819",-1001.50595527887,-3768.15100570619,0.0277315493647665,214.561796648242,1411,3.93420519528411,0.0805275945852135,0.423464074973967,0.244706699062825,0.0272882319499716
"116709400269888995678482568964515481240",156.31099614501,-3134.92780650556,0.0491702334945686,212.310313358251,627,8.15958838039866,0.303887539048941,0.412356820548421,0.108642832349879,0.0837597119575516
"116728152764956698749422932006066159939",-686.744014263153,-3423.0870043844,0.090001139732666,340.720934623713,3445,14.9161654299632,0.700104130510239,0.919645956265186,0.597709128774731,0.344703429979155
"116845821388434969576498612313429961156",-1143.42395186424,-3179.17635544091,0.0480520891517798,117.814628480885,1116,7.03898958544812,0.295209996528983,0.160534536619229,0.193509198195071,0.0680310782641652
