Cell_ID,Sample,Cell_Type,x,y
111039981336314335867864544156477291098,mouse1_slice221,219,-94.97349880635738,-4059.830903500319
111045938874430279365756176287424233851,mouse1_slice221,52,-1199.6529553234575,-3834.869904100895
111137149413405664351757237938059838477,mouse1_slice221,181,202.7940450266004,-2821.7899044156075
111251941927191680571969233038712343618,mouse1_slice221,85,319.30550085008144,-3886.917402848601
111263364438993371627866533287397736738,mouse1_slice221,202,745.519984960556,-3128.485906660557
111499583230327088094413551570085029997,mouse1_slice221,78,-1090.7769531309605,-3398.235004982352
111561523986822694460745651305242261670,mouse1_slice221,40,-721.1335134357214,-3774.701905548573
111758745908047985644484157464448050131,mouse1_slice221,76,-735.7940130829811,-2631.6980041772126
111784754022014269919855354799450073949,mouse1_slice221,13,589.7848838955164,-3127.385006687045
111862222524096547187745998324668060247,mouse1_slice221,18,-982.223855742812,-2476.665953095257
111890313465427089112346392615441524178,mouse1_slice221,146,767.3199844360352,-4125.43390673399
111926987222867325975156113246399431336,mouse1_slice221,201,-1056.6599539518356,-2723.798906773329
111945402786959172569060727480130285289,mouse1_slice221,110,-19.818000614643097,-2689.414857600629
111956512984302453881669291798460610978,mouse1_slice221,307,904.9719859361649,-4198.027904987335
111962862153353650682428390329632286152,mouse1_slice221,175,770.3719843626022,-3965.6549057662487
112158147439543402169470808868513781116,mouse1_slice221,241,246.11200261116028,-2740.143456380069
112312236029246408987661017394876924995,mouse1_slice221,309,324.0470007359981,-4155.354406014085
112340247548757844297637249348618141471,mouse1_slice221,138,354.24000000953674,-2950.721906125545
112357785769703631053384959552825697158,mouse1_slice221,79,678.0380865842104,-3914.751906991005
112393067797195688669795693472281337024,mouse1_slice221,48,-147.1299975514412,-3455.4709036052227
112399129945730011917070249364344337328,mouse1_slice221,169,-479.28296444267033,-2780.6969054043293
112406582169953421267841767545706937901,mouse1_slice221,5,-220.1559158653021,-3159.005905926228
112448446513397212207937246862142795185,mouse1_slice221,297,496.2519861459732,-4013.941904604435
112472454346012804189263718461548825553,mouse1_slice221,121,-366.0810171663761,-3562.6029058396816
112473846562889645266990339574766499900,mouse1_slice221,1,489.48308630883696,-3344.628806272149
112574322042026493675578897393790437450,mouse1_slice221,90,-979.4825058087706,-2601.510454903543
112636000867147335361697247610282781578,mouse1_slice221,30,-78.13299921154976,-4095.26680264771
112662250256386476774279832776419546301,mouse1_slice221,199,-496.7720140218735,-3337.641906440258
112671952390457602717691255649962996755,mouse1_slice221,181,103.7184974104166,-2777.9719054698944
113046943938795047864102458392626298177,mouse1_slice221,175,834.9490328088402,-4061.689353455603
113072093497942448060902980824746472820,mouse1_slice221,228,-170.22709699571132,-3158.1448059469462
113115047885848550162692585232669525122,mouse1_slice221,142,-1081.5174033537508,-2862.441453437508
113140866526217950967358598488793147708,mouse1_slice221,39,616.4735332533717,-4154.318906039
113207562473560905345701676147977432850,mouse1_slice221,55,-249.46601516008377,-3471.7119032144547
113271573848018292718624990649547183869,mouse1_slice221,3,342.5770002901554,-4276.453403100371
113308912060997753042645763537861697902,mouse1_slice221,3,450.3629872500897,-4411.222354669869
113483895045773338425620203568640813613,mouse1_slice221,143,530.4234853237867,-2834.771804103256
113509890959833268024343120904524723250,mouse1_slice221,22,-1302.821452841163,-2779.448855434358
113545828657360110134682463544258498183,mouse1_slice221,14,-192.2410165369511,-3413.407804617286
113632650599781329011885693548024319009,mouse1_slice221,145,-635.2960155010223,-3379.7268054276706
113632663895913772660650537923292266124,mouse1_slice221,4,8.303998708724976,-3050.22800373137
113736685129977083823131095381757193953,mouse1_slice221,48,392.062999099493,-3939.385906398296
113747385726060586224235280716954030504,mouse1_slice221,153,-1455.5699539780617,-2934.1539065241814
113754899395397892141714962675027101915,mouse1_slice221,110,336.0915004462004,-2634.984354098141
113802961048697877501398114065447635313,mouse1_slice221,36,188.9019953608513,-3568.706905692816
113811421568837986408268267806808818774,mouse1_slice221,4,-101.24099865555765,-3054.32640363276
113873295563848668143644829341780276531,mouse1_slice221,201,-1663.8539537787435,-2624.8419043421745
113964241955571738517864059296010196170,mouse1_slice221,151,-1192.8840554863214,-2735.7780064851045
113970539876203541138271056943800682036,mouse1_slice221,251,-1531.117852160335,-3098.961902558804
11408238696825536908670161021628480690,mouse1_slice221,223,262.3530022203922,-3379.606905430556
114099479269772987109187497060454633440,mouse1_slice221,50,-3.5225010067224503,-3355.0819060206413
114165124241021035532634852799502763977,mouse1_slice221,67,-78.02399921417236,-2894.765402659774
114301257641121492380956687318153535607,mouse1_slice221,292,-0.7375510737299968,-3945.380906254053
114335276895863339772204006948345739144,mouse1_slice221,88,-278.25291446745393,-2858.969803521037
114379891321910012012532602595655890864,mouse1_slice221,56,-702.3855138868093,-2530.11000662148
114398600390035121494179697186620679859,mouse1_slice221,14,274.12500193715096,-3841.409903943538
114459363556562729567958150779062396862,mouse1_slice221,57,-1233.4484045103193,-3414.813904583454
114500865015537998727785959648645551744,mouse1_slice221,266,-991.5869555175304,-3838.5759040117264
114611880428865420384567895088142414616,mouse1_slice221,74,548.2449848949909,-3844.358353872597
114648178679816143492238115629650790580,mouse1_slice221,250,-1595.1839554309845,-2421.68090441823
114658484662833188817578172305899679229,mouse1_slice221,14,360.4584498599172,-3870.458403244615
114669423923233733544686195816964872812,mouse1_slice221,4,688.9489863216877,-3340.57400636971
114676794280719691300016382476662327516,mouse1_slice221,1,799.2569836676121,-3756.38990598917
114689259338979727582085747443191974134,mouse1_slice221,332,165.13999593257904,-2978.080905467272
11476471455536813475778028054292936710,mouse1_slice221,56,-1397.799955368042,-2605.984904795885
114915942150264723283580778091866861734,mouse1_slice221,39,-949.2010127604008,-3640.87035395652
115003289101425721704896871119740086073,mouse1_slice221,9,384.1059992909432,-3006.0939047932625
115109823232308035679725564040938483115,mouse1_slice221,11,-659.4831149190665,-3242.935903906822
115148644865269033147077922052505134473,mouse1_slice221,17,-737.0475130528212,-2472.8073531880973
115254995865534220453666752947576081895,mouse1_slice221,85,107.47899731993677,-3815.903904557228
11525579535439244301233796439326636693,mouse1_slice221,74,-166.52109708487987,-3629.63790422678
115279557532385108188373798993367425710,mouse1_slice221,125,-861.1290148794651,-2800.207904934883
115360371575171519436436362915946192060,mouse1_slice221,17,413.3179985880852,-2528.823806652427
115387845479473880415228290691422243461,mouse1_slice221,67,-311.7050136625767,-2873.673903167248
115415689141396596998821055228394465741,mouse1_slice221,132,-704.827113828063,-3881.52190297842
115478111782070762914179748046833958309,mouse1_slice221,331,-1228.2109546363354,-3394.430905073881
115512349749448350419138532816843028255,mouse1_slice221,18,354.40350000560284,-2509.5144571170213
115573171716738857715499951018714168614,mouse1_slice221,122,358.3819999098778,-2506.0319072008133
115650811972647146998277358294619801776,mouse1_slice221,146,761.6519845724106,-3970.2329056560993
115668144733990216751980346884827972604,mouse1_slice221,39,-6.421900936961164,-3778.407905459404
11575786100629232435698737759335819975,mouse1_slice221,136,658.9739870429039,-3157.142005971074
115763703720337847485211569026532622618,mouse1_slice221,113,-873.4460145831108,-2624.0789043605328
115835047977749596434189179765499859859,mouse1_slice221,155,-1073.2279535531998,-2706.249907195568
116018244815450269629349975852704613581,mouse1_slice221,138,-182.3220167756081,-2890.2528027683497
116088075430519593551791095018485991543,mouse1_slice221,26,295.1620014309883,-3253.628803649545
116103362057015793111860392428414103516,mouse1_slice221,10,-23.40410052835942,-3887.843902826309
116226679266597380013146872161445959028,mouse1_slice221,48,-1155.7259563803673,-3607.074904769659
116250501088726578807453856045184855913,mouse1_slice221,87,-828.7560156583786,-2469.542803266645
116264819171524044452944363393382419674,mouse1_slice221,100,310.73810105621817,-3153.218006065488
116307465172603720705375074046497937609,mouse1_slice221,40,-1210.3349550664425,-3769.578905671835
116380699961350786565335992538327484827,mouse1_slice221,9,-326.2020133137703,-2805.3309048116207
116412119693944360951871462900516847522,mouse1_slice221,290,755.1119847297668,-3454.5989036262035
116501169523389314055968246544412831642,mouse1_slice221,131,-216.0030159652233,-3792.468905121088
116532332032392530001591225099264099774,mouse1_slice221,343,314.13890097439287,-3150.836356122792
116572339585168577931525981452299432424,mouse1_slice221,106,-1274.4269535243511,-2909.301907122135
